mu,record,split,avAE_bpm,sdAE_bpm,avRE_percent,pearson_r
0.05,DATA_06_TYPE02,training,9.849301010416664,14.726576261114074,7.956842593098396,0.7330274297574398
0.05,DATA_07_TYPE02,training,10.836550659998164,18.62929444087912,7.434471344005093,0.5887978685910246
0.05,DATA_08_TYPE02,training,3.4321680712890625,3.442027233879262,3.1167990561185936,0.9682435337858356
0.05,DATA_09_TYPE02,training,5.886636409395973,13.682937664071044,6.386256677812154,0.7646740103652957
0.05,DATA_10_TYPE02,training,19.494919478817117,21.020629037107884,11.914218270082069,0.3566523019239558
0.05,DATA_11_TYPE02,training,4.990972514204544,7.623946499895435,3.223577989007619,0.9045727682117048
0.05,DATA_12_TYPE02,training,3.05653156838613,3.254796635516824,2.141836250798717,0.9828621957442272
0.05,TEST_S01_T01,competition,19.301494470730635,17.121706075042923,26.31676940960982,0.4394875502926406
0.05,TEST_S02_T01,competition,34.7980891879562,26.45655954323491,47.085999626849194,0.2057804356678801
0.05,TEST_S02_T02,competition,8.325714857313367,11.48353356394474,7.053597809670568,0.7144174551233867
0.05,TEST_S03_T02,competition,17.48803310032895,15.026022588587711,11.074031899981868,0.437784033780611
0.05,TEST_S04_T02,competition,9.415671410891088,10.192804800738706,7.682969709836164,0.6078762307300012
0.05,TEST_S05_T02,competition,4.282699181429139,5.4622864477209365,3.2586664735293662,0.7819117149418031
0.05,TEST_S06_T01,competition,18.066933490175188,20.17302600149927,21.90077242944965,0.2390488012762878
0.05,TEST_S06_T02,competition,11.83438306007923,13.328563963133604,8.37497112050178,0.4862755275465854
0.05,TEST_S07_T02,competition,11.046948540805785,11.62682450862971,8.786521909403078,0.309642892402696
0.05,TEST_S08_T01,competition,5.3456891796875,9.62111267280274,6.479894706452918,-0.1696671233068308
0.1,DATA_01_TYPE01,training,16.074320633815738,20.324083443210252,16.04497877330572,0.5321797354343514
0.1,DATA_02_TYPE02,training,7.53008905220055,10.40731328334863,6.673763989252822,0.8312457064180352
0.1,DATA_03_TYPE02,training,5.160571872209821,7.235472502492095,4.446577606896166,0.9088622736525448
0.1,DATA_04_TYPE02,training,5.637471393407535,9.501434372997618,5.679622051806548,0.8933469677406125
0.1,DATA_05_TYPE02,training,6.634488848458903,10.189738869315862,5.070208147829288,0.7725444784113176
0.1,DATA_06_TYPE02,training,13.041297942708333,19.78096502683227,9.90273539025281,0.571742416269521
0.1,DATA_07_TYPE02,training,16.377918590648388,21.76376331518002,11.212679785940232,0.4397404053843101
0.1,DATA_08_TYPE02,training,5.436794475097656,10.343036740262622,5.383415300911995,0.8103236784815624
